LINE,OD1,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,OD2,OD20,OD3,OD4,OD5,OD6,OD7,OD8,OD9,YD1,YD10,YD11,YD12,YD14,YD15,YD16,YD17,YD18,YD19,YD2,YD20,YD21,YD3,YD4,YD5,YD6,YD7,YD8,YD9
L1M3f,0.8762407667956387,0.8762029550310799,0.8333278790509259,0.8538840759634119,0.8395216163429058,0.9039620788282624,0.8619657912651867,0.8762377526815179,0.8728925017458097,0.8843792413853728,0.8565518108265786,0.8730395207111437,0.8810929558215131,0.841385913540096,0.870047373932975,0.8615433923438728,0.8588664552088913,0.9054654553441589,0.8827333712526768,0.8921626366892907,0.8440677809072046,0.8606522019389443,0.9212331302623056,0.8570846200702628,0.8843408323095823,0.8499605178074016,0.8400992018373663,0.8582818288799227,0.8577155635749387,0.874066096379207,0.866905103797382,0.8246739701426892,0.8373175011052169,0.8786625532670459,0.8714739843955753,0.8741042475967871,0.8882884622150293,0.872306931950087,0.878398618624421,0.8154867054275896
L1M4,0.8048208395650284,0.8173401703080776,0.8254465542044694,0.8338468896312972,0.8050881304704283,0.8100381444351779,0.8175481958461283,0.8299886094123714,0.7932809163698001,0.821408681984859,0.8330995839838784,0.824865465739617,0.8190142527852434,0.8256867685810881,0.8064188630909314,0.8142513127386808,0.80969343136135,0.8688609148472749,0.8078455259292768,0.8172934014180943,0.8297081718389716,0.8091217812004399,0.8274989824297528,0.8098963864236807,0.8779250726394068,0.8391741081712852,0.823982065351633,0.8177836327392802,0.8235653076829534,0.8294622558012926,0.8127808811959504,0.8304802474662253,0.7989486157731057,0.8045247957879638,0.819925240992787,0.8168712277682635,0.8092549102035114,0.81839778860445,0.8116440286125411,0.8060215339082397
L1M4b,0.7207114029429051,0.716703305347494,0.8040482739986969,0.7719187825600972,0.7027445417118832,0.727240506835315,0.71969878638754,0.7386865383904334,0.6780728055728483,0.715826242069278,0.7583253276758203,0.725801491056646,0.7200225524087006,0.7247733598838643,0.7144385731234316,0.7198352260647,0.7192923430732544,0.8141253507453017,0.7238654926073795,0.7155327767831661,0.726320623373622,0.7296761330327948,0.6751093616042029,0.7230251118284845,0.8366579036386255,0.7519846624092632,0.7599921125225674,0.7514194426096332,0.7231136218671778,0.7092508031175834,0.7090080741218509,0.7629758750853481,0.7661617767940635,0.7230865680543416,0.7145902921246865,0.7204643272590318,0.72225128471866,0.7183800938657613,0.7158517906037071,0.7100910693010987
L1M4c,0.8629613009827576,0.8455607614964603,0.8856299309614931,0.8795355942606677,0.8579435111048715,0.8633182915645166,0.8602809287109031,0.866197662716012,0.8582862605428778,0.8574058766131845,0.8617320389899757,0.8602574614722681,0.8887410471493458,0.8663396122970307,0.8545315098039774,0.8678973584254144,0.8658249595537252,0.891649852206626,0.8698606704999438,0.8604683517788748,0.8601727680438181,0.8774487553602389,0.8685930814527314,0.8633010640454589,0.8943121269485976,0.8806809958939156,0.8595542474160928,0.875686665340589,0.8776851350894138,0.8774983426473802,0.8497835143949812,0.8631595898569449,0.8665148371361443,0.8662747395544004,0.8692385105036229,0.8583300902201506,0.8582248659668185,0.8754814868899264,0.8683210747447473,0.8587491035749482
L1M5,0.8321559339718502,0.8557331009127852,0.8684785226910055,0.867937599275946,0.8531468726847203,0.8549777662493698,0.8522150480184104,0.862042813876695,0.8577309773915123,0.8515124487133284,0.8578165306170988,0.8602290926641029,0.8602732816321763,0.8615927374575594,0.8521285276554788,0.868951194695341,0.854660986762478,0.8873002269250758,0.8486765013173423,0.8522075534020981,0.8617713297555689,0.8568513324358189,0.8556431818452809,0.8548322829834832,0.8998357240336567,0.8655547117930424,0.8712367410767248,0.8595343860288582,0.8622801718996337,0.8649236311940972,0.8468326767051785,0.8666755406535325,0.8413347801707838,0.8519801622935144,0.8558469528786962,0.8534064716050911,0.852899432145548,0.8530829403907625,0.8555832680665042,0.846677175879066
L1M6,0.8314011492070964,0.8608462826526132,0.8122429735993141,0.826587025951717,0.8568003561365903,0.8535799063115052,0.8277409892131684,0.8556897178336285,0.8425810292931775,0.8509985638364994,0.8520256299065676,0.8480463562084226,0.8498595094162955,0.8426490650312191,0.8441576938841415,0.8430841919171909,0.8525359024855875,0.8880540256839567,0.8414829904010993,0.8416601331645079,0.8557450606082002,0.8498487799163783,0.8708687869734477,0.8285267191882892,0.8852153853203877,0.8467538149809485,0.827882025723825,0.8296746724144668,0.8440451225138408,0.854070031443754,0.8401417531394924,0.8276943588024411,0.8258768822181363,0.8567067509940429,0.8493044855121171,0.8599942438467513,0.8501271158061378,0.8498706520852473,0.8394022036117177,0.820085256139513
L1M7,0.898443701376274,0.9074497498291799,0.913088909773733,0.9207168712011101,0.9269920599470145,0.9191724513797261,0.906887866968242,0.9114634400183658,0.9178322075841623,0.9062372971143372,0.9118249310604402,0.9104974026238594,0.9239746886755136,0.9180722053709746,0.9141824786606827,0.9248272753137304,0.9127320359427794,0.9203795076657306,0.9136457437094156,0.906944409724392,0.9077691206061099,0.9205596680404324,0.9114173265001003,0.9112643384407603,0.9285387192394953,0.9116041219646226,0.9290270577316947,0.9186420089412134,0.9076688797896112,0.9287276799185276,0.9052568833543359,0.9183571598316124,0.8997290936859197,0.912691922631297,0.9126980155775638,0.911707463918578,0.9141475597454991,0.9172666628114472,0.9181036450416451,0.8945798207324834
L1MA1,0.8925609771117385,0.8906837662271014,0.9326963504094226,0.9175805899118524,0.9127799146212995,0.9000322032726098,0.9020954261270153,0.9095011258909084,0.9254586478590924,0.9083931211214537,0.9169549635943774,0.8954277640468741,0.9132760062611808,0.9037005004318891,0.8895681786648691,0.898412083280387,0.9026371029761018,0.9086639780010686,0.8961453938754721,0.899230658505574,0.9023185516670497,0.8993887749282508,0.9008012345128141,0.9020505027735599,0.9248157784870591,0.9149068535144764,0.920219646935785,0.90955846695109,0.9173743682835329,0.9172330367551257,0.8881045216251636,0.916997760014055,0.9044171421726629,0.895988568339754,0.9001838202207282,0.8969126647619391,0.9022231430288464,0.8990257342521912,0.9073096249570892,0.8767841969507192
L1MA10,0.8562560810922423,0.9099163367269987,0.9061238818630473,0.9098437937144457,0.8860926664819838,0.8925906854569711,0.8987816705516256,0.9072164529333201,0.8977547550247467,0.8965282512626261,0.8881036172426142,0.9000029575217339,0.9045010911440549,0.9107420165284501,0.8994384236356187,0.8966261707681815,0.8964937183220106,0.8888069454316726,0.8759603949772955,0.8860654853646321,0.9085715152378898,0.8877952553559837,0.9140549773211032,0.8710078749365723,0.9074972609172008,0.9153418694854762,0.9104281314388734,0.9020888200403183,0.8998200685771627,0.9060432216322977,0.8743460209320695,0.9244974922369704,0.8691891680567139,0.8798510908976364,0.8851341685998912,0.8818524325497755,0.9050007704449784,0.8934264007083159,0.8985232693903227,0.8825837778921143
L1MA2,0.7174598945194248,0.7496194270050068,0.7963857479593356,0.7823132707313638,0.734617833544095,0.7363823010630165,0.728511737737982,0.7584004177499676,0.7068600036164693,0.7484988671334639,0.7586473655267918,0.7564632843701168,0.7444835512396898,0.7604429869046476,0.7329483034470408,0.7599131197058794,0.7464402240515172,0.8060565435105747,0.7195983963829677,0.7236792054057908,0.7509472141300376,0.74519592370282,0.7309717611051044,0.7440068257476945,0.8295283280796298,0.763394444700362,0.7665995315914574,0.7742501477409182,0.7565537827444555,0.7205423812649752,0.7295692617142951,0.7854358761829809,0.7363596102523585,0.7445905284625847,0.7376460503069961,0.7262563887888638,0.7423611324001487,0.7353506976013475,0.7441359862781747,0.7220786958487133
L1MA3,0.8982370714366461,0.9006614908845335,0.9259882393207068,0.9139829861555188,0.9124711020282291,0.8984208607445836,0.8859628098474706,0.9088932056382346,0.9031578777238878,0.9112770443217022,0.9102703859217456,0.898568787362411,0.9025306322092942,0.9075797201481411,0.899107316657157,0.9025421279404476,0.9003193713171099,0.8972926839540094,0.898200925700999,0.9030268144074827,0.910356434611773,0.9019856501807849,0.897832363606347,0.8988126189664011,0.9212410407257912,0.9059087998930032,0.9138020125577234,0.9074612407334869,0.8977365824608207,0.9149028834698557,0.8990345772422814,0.9240296152271451,0.9084762586260969,0.9054272667513045,0.9024370199762873,0.8992376466723676,0.8975070282949602,0.9042387852093574,0.9045070027505862,0.8867409007252887
L1MA4,0.8172283664334137,0.8569130373399473,0.8675332116126127,0.8753165831347252,0.8335310508052451,0.8136024721916737,0.8146899219724038,0.8455825835557325,0.8181823051826531,0.8484642648776914,0.8758058858183368,0.8293750781346912,0.8399797792240001,0.8414612347215071,0.8219935384218062,0.883233663909039,0.8330533119539454,0.8668142897830369,0.8413027200598377,0.8433314199342493,0.8432346407362956,0.8439579514480711,0.8380771145278699,0.826814948611111,0.8937667593754695,0.8733629949355025,0.8721140673660788,0.8601453241701408,0.8468959227065168,0.8370284664464276,0.8286561681994274,0.8701451002263291,0.8450469361335858,0.8323391680907829,0.835810326222695,0.8274650216966244,0.8130861325686641,0.8352700773864361,0.8305554792320876,0.8324259191603798
L1MA4A,0.8897737909748326,0.9105301532557846,0.9275347159997455,0.9137292654365682,0.9094322316026742,0.9121288519784362,0.8973729647554959,0.9056181050365764,0.9191190090654827,0.9149807257938163,0.9137087216474531,0.912108538868802,0.9108909026482431,0.9123162504065481,0.9014638818391227,0.9074469766203994,0.8959912361066364,0.9093820684523805,0.9039645010686581,0.8935449182579529,0.9059764656271556,0.9039573961499493,0.9036899860047152,0.8969131333943828,0.9214594753356403,0.9125896571129815,0.9221715560934717,0.90799265547286,0.9122405644014289,0.9090702319587632,0.8990216647791051,0.9171749702218172,0.9059636403708677,0.9007920716493768,0.9000091708122566,0.8954741173020918,0.9068428064210136,0.9048945959447787,0.9082933626208456,0.8925024334944788
L1MA5,0.8572618363582685,0.8626005169908002,0.8881310310438585,0.8944250082163359,0.8739111576939299,0.8620920053009089,0.8820710309733875,0.8759941115344652,0.855384354076408,0.8904306205487587,0.8611884874131946,0.8871308847328174,0.874752582642535,0.8697409079568803,0.8804021733764545,0.8790072299007221,0.8769126341822051,0.8947699829965878,0.8758333612557067,0.8773291985044414,0.8766784615092336,0.878077573529413,0.8903283573373889,0.8728727225142554,0.9064572118921669,0.8890741682623261,0.8905314706681151,0.8895083058201454,0.8859570674933274,0.897484717778793,0.8772646719515768,0.8831248613928084,0.8734862047229421,0.8833537678122478,0.8953762811942957,0.8694542165441712,0.8753232365940304,0.8801189544937945,0.8834051421086454,0.870832490414896
L1MA5A,0.8444592851790658,0.8844935835091652,0.9094050955360728,0.9198118471773188,0.8842245068487532,0.8908018152293241,0.8770856961367943,0.8994376446931027,0.8801330006977085,0.8885934284523135,0.8874051559013652,0.8750299024640655,0.8855175274734182,0.8884017382422207,0.872406047166715,0.881954323465964,0.8828038558256495,0.8807366794727024,0.8598476493281164,0.87120145748383,0.8794090642271231,0.8790463723776226,0.8931939862542952,0.847656225202349,0.9066764882746957,0.9012154937644132,0.9026670591643884,0.8777095969342745,0.8785123224809467,0.898959523612946,0.8630209856237814,0.8978638825876094,0.8622648298615823,0.8590960418426236,0.872478719496614,0.8686784228276111,0.8612777205006498,0.8857495665571652,0.8763209498355267,0.8656535387126215
